id;alternative_id;criteria_id;value;created_at;updated_at
1;1;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
2;1;2;20;03-06-2023  19:00:30;03-06-2023  19:00:30
3;1;3;768;03-06-2023  19:00:30;03-06-2023  19:00:30
4;1;4;768;03-06-2023  19:00:30;03-06-2023  19:00:30
5;1;5;1;03-06-2023  19:00:30;03-06-2023  19:00:30
6;1;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
7;1;7;1;03-06-2023  19:00:30;03-06-2023  19:00:31
8;1;8;1;03-06-2023  19:00:30;03-06-2023  19:00:32
9;2;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
10;2;2;4.17;03-06-2023  19:00:30;03-06-2023  19:00:30
11;2;3;512;03-06-2023  19:00:30;03-06-2023  19:00:30
12;2;4;512;03-06-2023  19:00:30;03-06-2023  19:00:30
13;2;5;1;03-06-2023  19:00:30;03-06-2023  19:00:30
14;2;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
15;2;7;1;03-06-2023  19:00:30;03-06-2023  19:00:31
16;2;8;1;03-06-2023  19:00:30;03-06-2023  19:00:32
17;3;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
18;3;2;29;03-06-2023  19:00:30;03-06-2023  19:00:30
19;3;3;1000;03-06-2023  19:00:30;03-06-2023  19:00:30
20;3;4;500;03-06-2023  19:00:30;03-06-2023  19:00:30
21;3;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
22;3;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
23;3;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
24;3;8;1;03-06-2023  19:00:30;03-06-2023  19:00:32
25;4;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
26;4;2;60.89;03-06-2023  19:00:30;03-06-2023  19:00:30
27;4;3;1000;03-06-2023  19:00:30;03-06-2023  19:00:30
28;4;4;1000;03-06-2023  19:00:30;03-06-2023  19:00:30
29;4;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
30;4;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
31;4;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
32;4;8;0;03-06-2023  19:00:30;03-06-2023  19:00:32
33;5;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
34;5;2;25;03-06-2023  19:00:30;03-06-2023  19:00:30
35;5;3;512;03-06-2023  19:00:30;03-06-2023  19:00:30
36;5;4;866;03-06-2023  19:00:30;03-06-2023  19:00:30
37;5;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
38;5;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
39;5;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
40;5;8;1;03-06-2023  19:00:30;03-06-2023  19:00:32
41;6;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
42;6;2;4.97;03-06-2023  19:00:30;03-06-2023  19:00:30
43;6;3;768;03-06-2023  19:00:30;03-06-2023  19:00:30
44;6;4;226;03-06-2023  19:00:30;03-06-2023  19:00:30
45;6;5;0;03-06-2023  19:00:30;03-06-2023  19:00:30
46;6;6;0;03-06-2023  19:00:30;03-06-2023  19:00:30
47;6;7;0;03-06-2023  19:00:30;03-06-2023  19:00:31
48;6;8;1;03-06-2023  19:00:30;03-06-2023  19:00:32
49;7;1;1;03-06-2023  19:00:30;03-06-2023  19:00:30
50;7;2;0;03-06-2023  19:00:30;03-06-2023  19:00:30
